City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,parksville,49.3163,-124.3195,10.8,99,100,11.32,CA,2024-11-11 02:55:34
1,utrik,11.2278,169.8474,28.53,76,3,8.76,MH,2024-11-11 02:55:35
2,kerikeri,-35.2268,173.9474,15.42,98,100,1.59,NZ,2024-11-11 02:54:14
3,puerto ayora,-0.7393,-90.3518,21.42,87,88,2.24,EC,2024-11-11 02:43:37
4,badger,64.8,-147.5333,-17.05,84,0,2.06,US,2024-11-11 02:55:12
5,plouzane,48.3833,-4.6167,10.03,93,0,2.06,FR,2024-11-11 02:55:40
6,talnakh,69.4865,88.3972,-24.36,88,49,0.78,RU,2024-11-11 02:43:40
7,puerto ayora,-0.7393,-90.3518,21.42,87,88,2.24,EC,2024-11-11 02:43:37
8,pitimbu,-7.4706,-34.8086,25.09,73,100,5.14,BR,2024-11-11 02:55:43
9,kodiak,57.79,-152.4072,3.73,81,75,4.63,US,2024-11-11 02:47:43
10,freetown,8.484,-13.2299,26.43,79,3,1.11,SL,2024-11-11 02:54:52
11,yakeshi,49.2833,120.7333,-2.33,91,100,3.54,CN,2024-11-11 02:55:46
12,waitangi,-43.9535,-176.5597,16.01,88,98,2.68,NZ,2024-11-11 02:55:47
13,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
14,rodez,44.5,2.5833,9.82,100,100,3.09,FR,2024-11-11 02:55:50
15,albany,42.6001,-73.9662,7.23,76,100,1.34,US,2024-11-11 02:45:56
16,broome,42.2506,-75.833,7.73,93,100,6.17,US,2024-11-11 02:55:52
17,bilibino,68.0546,166.4372,-22.71,100,98,1.03,RU,2024-11-11 02:55:53
18,tura,25.5198,90.2201,25.3,65,0,0.76,IN,2024-11-11 02:44:31
19,namibe,-15.1961,12.1522,20.05,72,67,1.24,AO,2024-11-11 02:55:55
20,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,2024-11-11 02:55:57
21,blackmans bay,-43.0167,147.3167,18.62,53,5,1.34,AU,2024-11-11 02:55:59
22,ribeira grande,38.5167,-28.7,20.99,88,85,8.94,PT,2024-11-11 02:56:00
23,deir ez-zor,35.3359,40.1408,15.19,73,0,2.23,SY,2024-11-11 02:56:01
24,qom,34.6401,50.8764,11.99,36,9,1.21,IR,2024-11-11 02:56:02
